sequenceIndex,key,timestamp
171,8,1731976463989.5
171,7,1731976464189.5
171,4,1731976464485.5
171,6,1731976465062.5
171,1,1731976465277.5
172,5,1731976466341.5
172,1,1731976466573.5
172,0,1731976466845.5
172,8,1731976467661.5
172,1,1731976467957.5
173,6,1731976468917.5
173,0,1731976469189.5
173,6,1731976469477.5
173,2,1731976469766.5
173,7,1731976470093.5
174,3,1731976470997.5
174,8,1731976471334.5
174,3,1731976471645.5
174,2,1731976471941.5
174,4,1731976472253.5
175,9,1731976473262.5
175,3,1731976473693.5
175,2,1731976473989.5
175,7,1731976474429.5
175,2,1731976474781.5
176,6,1731976475837.5
176,4,1731976476149.5
176,6,1731976476469.5
176,3,1731976476845.5
176,9,1731976477181.5
177,1,1731976478205.5
177,5,1731976478469.5
177,7,1731976478797.5
177,5,1731976479293.5
177,4,1731976479605.5
178,9,1731976480621.5
178,1,1731976480925.5
178,8,1731976481277.5
178,6,1731976481901.5
178,4,1731976482277.5
179,2,1731976483253.5
179,1,1731976483549.5
179,2,1731976483909.5
179,9,1731976484277.5
179,2,1731976484589.5
180,2,1731976485565.5
180,3,1731976486325.5
180,9,1731976486781.5
180,5,1731976487485.5
180,7,1731976487757.5
181,8,1731976488917.5
181,7,1731976489133.5
181,2,1731976489549.5
181,9,1731976490205.5
181,2,1731976490525.5
182,3,1731976491789.5
182,6,1731976492005.5
182,2,1731976492357.5
182,5,1731976492861.5
182,4,1731976493165.5
183,6,1731976494469.5
183,0,1731976494749.5
183,9,1731976495101.5
183,4,1731976495629.5
183,2,1731976495877.5
184,7,1731976497253.5
184,4,1731976497509.5
184,8,1731976497797.5
184,2,1731976498189.5
184,3,1731976498469.5
185,5,1731976499645.5
185,3,1731976499885.5
185,0,1731976500164.5
185,7,1731976500621.5
185,2,1731976500924.5
186,8,1731976502164.5
186,4,1731976502420.5
186,9,1731976502708.5
186,4,1731976503364.5
186,9,1731976503589.5
187,5,1731976504669.5
187,1,1731976505012.5
187,4,1731976505292.5
187,9,1731976506260.5
187,4,1731976506620.5
188,6,1731976507748.5
188,1,1731976507996.5
188,5,1731976508276.5
188,1,1731976508660.5
188,0,1731976508908.5
189,8,1731976510124.5
189,7,1731976510388.5
189,1,1731976510748.5
189,6,1731976511396.5
189,9,1731976511604.5
190,6,1731976512724.5
190,8,1731976512996.5
190,6,1731976513284.5
190,4,1731976513724.5
190,7,1731976513924.5
191,6,1731976514980.5
191,8,1731976515260.5
191,1,1731976515580.5
191,3,1731976516188.5
191,0,1731976516405.5
192,4,1731976517388.5
192,0,1731976517692.5
192,5,1731976517972.5
192,1,1731976518308.5
192,5,1731976518620.5
193,4,1731976519700.5
193,7,1731976519924.5
193,1,1731976520300.5
193,5,1731976520796.5
193,8,1731976521060.5
194,0,1731976522012.5
194,5,1731976522316.5
194,0,1731976522668.5
194,8,1731976523148.5
194,1,1731976523468.5
195,6,1731976524532.5
195,2,1731976524764.5
195,4,1731976525116.5
195,9,1731976525572.5
195,1,1731976525852.5
196,5,1731976526868.5
196,0,1731976527172.5
196,3,1731976527444.5
196,0,1731976527956.5
196,6,1731976528244.5
197,3,1731976529132.5
197,7,1731976529764.5
197,9,1731976529996.5
197,2,1731976530428.5
197,8,1731976530708.5
198,9,1731976531779.5
198,5,1731976532075.5
198,7,1731976532371.5
198,8,1731976533124.5
198,9,1731976533387.5
199,3,1731976534315.5
199,7,1731976534635.5
199,3,1731976534916.5
199,2,1731976535195.5
199,0,1731976535507.5
200,2,1731976536691.5
200,0,1731976536915.5
200,9,1731976537275.5
200,7,1731976537867.5
200,8,1731976538099.5
201,2,1731976539356.5
201,1,1731976539627.5
201,3,1731976539931.5
201,9,1731976540315.5
201,2,1731976540611.5
202,3,1731976541611.5
202,0,1731976542059.5
202,7,1731976542403.5
202,8,1731976543203.5
202,9,1731976543403.5
203,6,1731976544723.5
203,3,1731976545011.5
203,7,1731976545371.5
203,3,1731976546043.5
203,6,1731976546251.5
204,3,1731976547299.5
204,6,1731976547547.5
204,2,1731976547851.5
204,6,1731976548571.5
204,5,1731976548787.5
205,6,1731976549835.5
205,0,1731976550091.5
205,8,1731976550435.5
205,1,1731976550891.5
205,7,1731976551267.5
206,8,1731976552363.5
206,0,1731976552667.5
206,2,1731976552963.5
206,0,1731976553643.5
206,3,1731976553851.5
207,7,1731976555131.5
207,0,1731976555427.5
207,8,1731976555755.5
207,6,1731976556475.5
207,4,1731976557043.5
208,6,1731976558267.5
208,2,1731976558515.5
208,5,1731976558771.5
208,0,1731976559163.5
208,2,1731976559411.5
209,1,1731976560363.5
209,5,1731976560595.5
209,1,1731976560883.5
209,4,1731976561179.5
209,0,1731976561451.5
210,3,1731976562778.5
210,8,1731976563131.5
210,4,1731976563451.5
210,5,1731976564418.5
210,9,1731976564642.5
211,7,1731976565970.5
211,6,1731976566226.5
211,8,1731976566474.5
211,9,1731976566907.5
211,1,1731976567210.5
212,5,1731976568226.5
212,1,1731976568490.5
212,5,1731976568730.5
212,4,1731976569074.5
212,5,1731976569347.5
213,2,1731976570426.5
213,5,1731976570682.5
213,7,1731976570946.5
213,9,1731976571690.5
213,5,1731976572098.5
214,4,1731976573186.5
214,1,1731976573450.5
214,4,1731976573706.5
214,0,1731976574034.5
214,9,1731976574338.5
215,1,1731976575410.5
215,0,1731976575658.5
215,5,1731976576010.5
215,3,1731976576498.5
215,2,1731976576698.5
216,8,1731976577930.5
216,7,1731976578274.5
216,3,1731976578626.5
216,8,1731976579386.5
216,7,1731976579634.5
217,2,1731976580602.5
217,7,1731976580930.5
217,4,1731976581226.5
217,3,1731976581674.5
217,4,1731976581938.5
218,5,1731976583058.5
218,9,1731976583282.5
218,6,1731976583666.5
218,9,1731976584298.5
218,4,1731976584546.5
219,9,1731976585554.5
219,4,1731976586002.5
219,9,1731976586370.5
219,1,1731976586778.5
219,0,1731976586994.5
220,2,1731976587906.5
220,4,1731976588218.5
220,9,1731976589786.5
220,3,1731976590058.5
220,9,1731976590418.5
221,4,1731976591850.5
221,1,1731976592106.5
221,5,1731976592370.5
221,2,1731976592658.5
221,0,1731976592922.5
222,8,1731976594378.5
222,7,1731976594634.5
222,2,1731976594970.5
222,3,1731976595338.5
222,6,1731976595610.5
223,2,1731976596634.5
223,3,1731976596850.5
223,4,1731976597194.5
223,1,1731976597506.5
223,4,1731976597746.5
224,6,1731976598866.5
224,4,1731976599146.5
224,5,1731976599402.5
224,4,1731976599962.5
224,0,1731976600218.5
225,4,1731976601338.5
225,6,1731976601562.5
225,7,1731976601914.5
225,4,1731976602458.5
225,1,1731976602698.5
226,4,1731976603793.5
226,2,1731976604089.5
226,5,1731976604665.5
226,9,1731976605137.5
226,8,1731976605337.5
227,3,1731976606266.5
227,2,1731976606521.5
227,7,1731976606865.5
227,2,1731976607601.5
227,8,1731976607905.5
228,7,1731976609017.5
228,6,1731976609553.5
228,7,1731976609873.5
228,8,1731976610521.5
228,7,1731976610737.5
229,1,1731976611753.5
229,6,1731976611993.5
229,3,1731976612265.5
229,2,1731976612537.5
229,3,1731976612817.5
230,1,1731976613801.5
230,8,1731976614153.5
230,3,1731976614473.5
230,9,1731976614961.5
230,7,1731976615185.5
231,0,1731976616569.5
231,1,1731976616841.5
231,0,1731976617129.5
231,7,1731976617625.5
231,1,1731976617921.5
232,6,1731976619025.5
232,4,1731976619249.5
232,6,1731976619521.5
232,0,1731976619857.5
232,9,1731976620169.5
233,3,1731976621161.5
233,1,1731976621457.5
233,2,1731976621745.5
233,8,1731976622073.5
233,1,1731976622377.5
234,5,1731976623417.5
234,0,1731976623697.5
234,9,1731976624025.5
234,1,1731976624545.5
234,9,1731976624785.5
235,7,1731976625881.5
235,9,1731976626225.5
235,2,1731976626497.5
235,5,1731976626857.5
235,9,1731976627097.5
236,6,1731976628345.5
236,3,1731976628577.5
236,5,1731976628873.5
236,0,1731976629361
236,8,1731976629665
237,0,1731976630665
237,9,1731976630969
237,8,1731976631217
237,5,1731976631809
237,8,1731976632257
238,5,1731976633241
238,0,1731976633529
238,6,1731976633785
238,7,1731976634241
238,3,1731976634561
239,6,1731976635641
239,5,1731976635825
239,0,1731976636113
239,5,1731976636625
239,8,1731976636849
240,7,1731976637913
240,6,1731976638344
240,3,1731976638600
240,2,1731976639024
240,8,1731976639312
241,4,1731976640464
241,9,1731976640736
241,8,1731976641016
241,3,1731976641457
241,2,1731976641664
242,6,1731976642713
242,1,1731976642928
242,4,1731976643185
242,2,1731976643576
242,1,1731976643808
243,5,1731976644857
243,2,1731976645088
243,0,1731976645352
243,7,1731976645776
243,0,1731976646096
244,1,1731976647000
244,0,1731976647328
244,6,1731976647648
244,0,1731976648312
244,1,1731976648552
245,7,1731976649617
245,3,1731976650040
245,7,1731976650315
245,9,1731976651048
245,4,1731976651272
246,6,1731976652320
246,5,1731976652544
246,6,1731976652872
246,1,1731976653248
246,2,1731976653464
247,9,1731976654448
247,2,1731976654744
247,9,1731976655256
247,4,1731976655768
247,0,1731976656048
248,9,1731976657168
248,7,1731976657400
